acl 2.3.1-1
licenses 20200427-1
linux 5.13.12.arch1-1
linux-api-headers 5.12.3-1
linux-firmware 20210818.c46b8c3-1
llvm-libs 12.0.1-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lsof 4.94.0-1
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
make 4.3-3
man-db 2.9.4-2
mesa 21.2.1-1
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mobile-broadband-provider-info 20201225-1
mpfr 4.1.0.p13-1
mtdev 1.1.6-1
mtools 1:4.0.35-1
ncurses 6.2-2
nerd-fonts-cascadia-code 2.1.0-2
nerd-fonts-mononoki 2.1.0-2
nettle 3.7.3-1
networkmanager 1.32.10-1
noto-fonts-emoji 20210625-1
npth 1.6-3
nspr 4.32-1
nss 3.69-1
nvidia 470.63.01-3
nvidia-settings 470.63.01-1
nvidia-utils 470.63.01-1
openssh 8.6p1-1
openssl 1.1.1.k-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.79-1
p11-kit 0.24.0-1
pacman 6.0.0-5
pacman-mirrorlist 20210808-1
pam 1.5.1-1
pambase 20210605-2
pango 1:1.48.9-1
pangomm 2.46.1-2
papirus-icon-theme 20210802-2
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.37-1
perl 5.34.0-2
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-timedate 2.33-3
picom 8.2-1
pinentry 1.1.1-1
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.119-1
popt 1.18-1
postman-bin 8.10.0-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 15.0-1
python 3.9.6-1
python-appdirs 1.4.4-3
python-cachecontrol 0.12.6-3
python-cairocffi 1.2.0-3
python-cffi 1.14.6-1
python-chardet 4.0.0-2
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.7-1
python-distlib 0.3.2-1
python-distro 1.5.0-3
python-html5lib 1.1-6
python-idna 3.2-1
python-iwlib 1.7.0-3
python-more-itertools 8.8.0-1
python-msgpack 1.0.2-2
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pep517 0.11.0-1
python-pip 20.3.4-1
python-ply 3.11-7
python-progress 1.5-5
python-psutil 5.8.0-1
python-pycparser 2.20-3
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-requests 2.26.0-1
python-resolvelib 0.5.5-1
python-retrying 1.3.3-9
python-setuptools 1:57.4.0-1
python-six 1.16.0-1
python-toml 0.10.2-3
python-tomli 1.2.1-1
python-urllib3 1.26.6-1
python-webencodings 0.5.1-6
python-xcffib 0.11.1-1
qtile-git 4289.bd5561a9-1
readline 8.1.001-1
rest 0.8.1-3
rofi 1.6.1-1
rtkit 0.13-1
sed 4.8-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slack-desktop 4.18.0-1
slang 2.3.2-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.36.0-1
startup-notification 0.12-7
sudo 1.9.7.p2-1
systemd 249.3-1
systemd-libs 249.3-1
systemd-sysvcompat 249.3-1
tar 1.34-1
task 2.5.3-1
tdb 1.4.5-1
texinfo 6.8-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.4-1
tzdata 2021a-1
unzip 6.0-14
util-linux 2.37.2-1
util-linux-libs 2.37.2-1
vim 8.2.2891-1
vim-runtime 8.2.2891-1
visual-studio-code-bin 1.59.1-1
vulkan-icd-loader 1.2.187-1
wayland 1.19.0-1
wayland-protocols 1.21-1
webrtc-audio-processing 0.3.1-3
which 2.21-5
wireless_tools 30.pre9-3
wpa_supplicant 2:2.9-8
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.1.0-1
xf86-video-vesa 2.5.0-1
xkeyboard-config 2.33-1
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.4-1
xorg-fonts-alias-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.13-2
xorg-server-common 1.20.13-2
xorg-server-devel 1.20.13-2
xorg-server-xephyr 1.20.13-2
xorg-server-xnest 1.20.13-2
xorg-server-xvfb 1.20.13-2
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-util-macros 1.19.3-1
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwayland 21.1.2-1
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xorgproto 2021.4-1
xz 5.2.5-1
yay-git 10.3.1.r22.gf42cbde-1
zeromq 4.3.4-1
zlib 1:1.2.11-4
zstd 1.5.0-1
